year,tournament_id,match_id,stage_name,home_team,away_team,home_goals,away_goals,result,home_team_win,away_team_win,draw,extra_time,penalty_shootout,match_date,total_goals
1930,WC-1930,M-1930-01,group stage,France,Mexico,4,1,home team win,1,0,0,0,0,1930-07-13,5
1930,WC-1930,M-1930-02,group stage,United States,Belgium,3,0,home team win,1,0,0,0,0,1930-07-13,3
1930,WC-1930,M-1930-03,group stage,Yugoslavia,Brazil,2,1,home team win,1,0,0,0,0,1930-07-14,3
1930,WC-1930,M-1930-04,group stage,Romania,Peru,3,1,home team win,1,0,0,0,0,1930-07-14,4
1930,WC-1930,M-1930-05,group stage,Argentina,France,1,0,home team win,1,0,0,0,0,1930-07-15,1
1930,WC-1930,M-1930-06,group stage,Chile,Mexico,3,0,home team win,1,0,0,0,0,1930-07-16,3
1930,WC-1930,M-1930-07,group stage,Yugoslavia,Bolivia,4,0,home team win,1,0,0,0,0,1930-07-17,4
1930,WC-1930,M-1930-08,group stage,United States,Paraguay,3,0,home team win,1,0,0,0,0,1930-07-17,3
1930,WC-1930,M-1930-09,group stage,Uruguay,Peru,1,0,home team win,1,0,0,0,0,1930-07-18,1
1930,WC-1930,M-1930-10,group stage,Chile,France,1,0,home team win,1,0,0,0,0,1930-07-19,1
1930,WC-1930,M-1930-11,group stage,Argentina,Mexico,6,3,home team win,1,0,0,0,0,1930-07-19,9
1930,WC-1930,M-1930-12,group stage,Brazil,Bolivia,4,0,home team win,1,0,0,0,0,1930-07-20,4
1930,WC-1930,M-1930-13,group stage,Paraguay,Belgium,1,0,home team win,1,0,0,0,0,1930-07-20,1
1930,WC-1930,M-1930-14,group stage,Uruguay,Romania,4,0,home team win,1,0,0,0,0,1930-07-21,4
1930,WC-1930,M-1930-15,group stage,Argentina,Chile,3,1,home team win,1,0,0,0,0,1930-07-22,4
1930,WC-1930,M-1930-16,semi-finals,Argentina,United States,6,1,home team win,1,0,0,0,0,1930-07-26,7
1930,WC-1930,M-1930-17,semi-finals,Uruguay,Yugoslavia,6,1,home team win,1,0,0,0,0,1930-07-27,7
1930,WC-1930,M-1930-18,final,Uruguay,Argentina,4,2,home team win,1,0,0,0,0,1930-07-30,6
1934,WC-1934,M-1934-01,round of 16,Austria,France,3,2,home team win,1,0,0,1,0,1934-05-27,5
1934,WC-1934,M-1934-02,round of 16,Czechoslovakia,Romania,2,1,home team win,1,0,0,0,0,1934-05-27,3
1934,WC-1934,M-1934-03,round of 16,Germany,Belgium,5,2,home team win,1,0,0,0,0,1934-05-27,7
1934,WC-1934,M-1934-04,round of 16,Hungary,Egypt,4,2,home team win,1,0,0,0,0,1934-05-27,6
1934,WC-1934,M-1934-05,round of 16,Italy,United States,7,1,home team win,1,0,0,0,0,1934-05-27,8
1934,WC-1934,M-1934-06,round of 16,Spain,Brazil,3,1,home team win,1,0,0,0,0,1934-05-27,4
1934,WC-1934,M-1934-07,round of 16,Sweden,Argentina,3,2,home team win,1,0,0,0,0,1934-05-27,5
1934,WC-1934,M-1934-08,round of 16,Switzerland,Netherlands,3,2,home team win,1,0,0,0,0,1934-05-27,5
1934,WC-1934,M-1934-09,quarter-finals,Austria,Hungary,2,1,home team win,1,0,0,0,0,1934-05-31,3
1934,WC-1934,M-1934-10,quarter-finals,Czechoslovakia,Switzerland,3,2,home team win,1,0,0,0,0,1934-05-31,5
1934,WC-1934,M-1934-11,quarter-finals,Germany,Sweden,2,1,home team win,1,0,0,0,0,1934-05-31,3
1934,WC-1934,M-1934-12,quarter-finals,Italy,Spain,1,1,draw,0,0,1,1,0,1934-05-31,2
1934,WC-1934,M-1934-13,quarter-finals,Italy,Spain,1,0,home team win,1,0,0,0,0,1934-06-01,1
1934,WC-1934,M-1934-14,semi-finals,Czechoslovakia,Germany,3,1,home team win,1,0,0,0,0,1934-06-03,4
1934,WC-1934,M-1934-15,semi-finals,Italy,Austria,1,0,home team win,1,0,0,0,0,1934-06-03,1
1934,WC-1934,M-1934-16,third-place match,Germany,Austria,3,2,home team win,1,0,0,0,0,1934-06-07,5
1934,WC-1934,M-1934-17,final,Italy,Czechoslovakia,2,1,home team win,1,0,0,1,0,1934-06-10,3
1938,WC-1938,M-1938-01,round of 16,Switzerland,Germany,1,1,draw,0,0,1,1,0,1938-06-04,2
1938,WC-1938,M-1938-02,round of 16,Cuba,Romania,3,3,draw,0,0,1,1,0,1938-06-05,6
1938,WC-1938,M-1938-03,round of 16,France,Belgium,3,1,home team win,1,0,0,0,0,1938-06-05,4
1938,WC-1938,M-1938-04,round of 16,Hungary,Dutch East Indies,6,0,home team win,1,0,0,0,0,1938-06-05,6
1938,WC-1938,M-1938-05,round of 16,Italy,Norway,2,1,home team win,1,0,0,1,0,1938-06-05,3
1938,WC-1938,M-1938-06,round of 16,Brazil,Poland,6,5,home team win,1,0,0,1,0,1938-06-05,11
1938,WC-1938,M-1938-07,round of 16,Czechoslovakia,Netherlands,3,0,home team win,1,0,0,1,0,1938-06-05,3
1938,WC-1938,M-1938-08,round of 16,Cuba,Romania,2,1,home team win,1,0,0,0,0,1938-06-09,3
1938,WC-1938,M-1938-09,round of 16,Switzerland,Germany,4,2,home team win,1,0,0,0,0,1938-06-09,6
1938,WC-1938,M-1938-10,quarter-finals,Brazil,Czechoslovakia,1,1,draw,0,0,1,1,0,1938-06-12,2
1938,WC-1938,M-1938-11,quarter-finals,Hungary,Switzerland,2,0,home team win,1,0,0,0,0,1938-06-12,2
1938,WC-1938,M-1938-12,quarter-finals,Italy,France,3,1,home team win,1,0,0,0,0,1938-06-12,4
1938,WC-1938,M-1938-13,quarter-finals,Sweden,Cuba,8,0,home team win,1,0,0,0,0,1938-06-12,8
1938,WC-1938,M-1938-14,quarter-finals,Brazil,Czechoslovakia,2,1,home team win,1,0,0,0,0,1938-06-14,3
1938,WC-1938,M-1938-15,semi-finals,Hungary,Sweden,5,1,home team win,1,0,0,0,0,1938-06-16,6
1938,WC-1938,M-1938-16,semi-finals,Italy,Brazil,2,1,home team win,1,0,0,0,0,1938-06-16,3
1938,WC-1938,M-1938-17,third-place match,Brazil,Sweden,4,2,home team win,1,0,0,0,0,1938-06-19,6
1938,WC-1938,M-1938-18,final,Italy,Hungary,4,2,home team win,1,0,0,0,0,1938-06-19,6
1950,WC-1950,M-1950-01,group stage,Brazil,Mexico,4,0,home team win,1,0,0,0,0,1950-06-24,4
1950,WC-1950,M-1950-02,group stage,Yugoslavia,Switzerland,3,0,home team win,1,0,0,0,0,1950-06-25,3
1950,WC-1950,M-1950-03,group stage,England,Chile,2,0,home team win,1,0,0,0,0,1950-06-25,2
1950,WC-1950,M-1950-04,group stage,Spain,United States,3,1,home team win,1,0,0,0,0,1950-06-25,4
1950,WC-1950,M-1950-05,group stage,Sweden,Italy,3,2,home team win,1,0,0,0,0,1950-06-25,5
1950,WC-1950,M-1950-06,group stage,Brazil,Switzerland,2,2,draw,0,0,1,0,0,1950-06-28,4
1950,WC-1950,M-1950-07,group stage,Yugoslavia,Mexico,4,1,home team win,1,0,0,0,0,1950-06-28,5
1950,WC-1950,M-1950-08,group stage,Spain,Chile,2,0,home team win,1,0,0,0,0,1950-06-29,2
1950,WC-1950,M-1950-09,group stage,United States,England,1,0,home team win,1,0,0,0,0,1950-06-29,1
1950,WC-1950,M-1950-10,group stage,Sweden,Paraguay,2,2,draw,0,0,1,0,0,1950-06-29,4
1950,WC-1950,M-1950-11,group stage,Brazil,Yugoslavia,2,0,home team win,1,0,0,0,0,1950-07-01,2
1950,WC-1950,M-1950-12,group stage,Chile,United States,5,2,home team win,1,0,0,0,0,1950-07-02,7
1950,WC-1950,M-1950-13,group stage,Spain,England,1,0,home team win,1,0,0,0,0,1950-07-02,1
1950,WC-1950,M-1950-14,group stage,Italy,Paraguay,2,0,home team win,1,0,0,0,0,1950-07-02,2
1950,WC-1950,M-1950-15,group stage,Uruguay,Bolivia,8,0,home team win,1,0,0,0,0,1950-07-02,8
1950,WC-1950,M-1950-16,group stage,Switzerland,Mexico,2,1,home team win,1,0,0,0,0,1950-07-02,3
1950,WC-1950,M-1950-17,final round,Brazil,Sweden,7,1,home team win,1,0,0,0,0,1950-07-09,8
1950,WC-1950,M-1950-18,final round,Uruguay,Spain,2,2,draw,0,0,1,0,0,1950-07-09,4
1950,WC-1950,M-1950-19,final round,Brazil,Spain,6,1,home team win,1,0,0,0,0,1950-07-13,7
1950,WC-1950,M-1950-20,final round,Uruguay,Sweden,3,2,home team win,1,0,0,0,0,1950-07-13,5
1950,WC-1950,M-1950-21,final round,Sweden,Spain,3,1,home team win,1,0,0,0,0,1950-07-16,4
