year,player_id,team_name,matches_played,matches_started,position_name,goals_scored,penalty_goals,open_play_goals,family_name,given_name,player_name,age,wc_exp,won_golden_boot,won_best_player,won_young_player
1970,P-00086,El Salvador,3,3,defender,0,0,0,Rivas,Roberto,Roberto Rivas,28.9,0,False,False,False
1970,P-00119,Italy,6,6,forward,3,0,3,Riva,Gigi,Gigi Riva,25.6,0,False,False,False
1970,P-00746,Sweden,2,1,forward,1,0,1,Turesson,Tom,Tom Turesson,28.0,0,False,False,False
1970,P-01172,Bulgaria,2,2,defender,1,0,1,Zhechev,Dobromir,Dobromir Zhechev,27.5,2,False,False,False
1970,P-02102,Soviet Union,4,4,forward,4,0,4,Byshovets,Anatoliy,Anatoliy Byshovets,24.1,0,False,False,False
1970,P-02166,El Salvador,2,2,midfielder,0,0,0,Quintanilla,José,José Quintanilla,22.6,0,False,False,False
1970,P-02372,Bulgaria,2,2,forward,0,0,0,Popov,Georgi,Georgi Popov,25.9,0,False,False,False
1970,P-02403,Romania,3,3,center forward,1,0,1,Dembrovschi,Emerich,Emerich Dembrovschi,24.6,0,False,False,False
1970,P-02662,Uruguay,2,1,forward,0,0,0,Zubia,Oscar,Oscar Zubia,24.3,0,False,False,False
1970,P-02965,Brazil,6,6,center back,0,0,0,Piazza,not applicable,not applicable Piazza,27.3,0,False,False,False
1970,P-03154,Romania,1,0,midfielder,0,0,0,Gergely,Vasile,Vasile Gergely,28.6,0,False,False,False
1970,P-03607,Peru,4,4,forward,2,0,2,Gallardo,Alberto,Alberto Gallardo,29.5,0,False,False,False
1970,P-04354,Brazil,4,4,center midfielder,1,0,1,Gérson,not applicable,not applicable Gérson,29.4,1,False,False,False
1970,P-04640,Czechoslovakia,1,1,defender,0,0,0,Hrivnák,Vladimír,Vladimír Hrivnák,25.1,0,False,False,False
1970,P-04931,Romania,1,0,goal keeper,0,0,0,Răducanu,Necula,Necula Răducanu,24.1,0,False,False,False
1970,P-05329,Italy,1,0,defender,0,0,0,Furino,Giuseppe,Giuseppe Furino,23.9,0,False,False,False
1970,P-05631,Mexico,1,0,midfielder,0,0,0,Díaz,Isidoro,Isidoro Díaz,32.2,2,False,False,False
1970,P-05872,Sweden,2,1,midfielder,0,0,0,Nicklasson,Göran,Göran Nicklasson,27.8,0,False,False,False
1970,P-06520,Bulgaria,2,2,forward,1,0,1,Dermendzhiev,Dinko,Dinko Dermendzhiev,29.0,2,False,False,False
1970,P-07812,Mexico,4,4,forward,2,0,2,Valdivia,Javier,Javier Valdivia,28.5,0,False,False,False
1970,P-08268,El Salvador,3,3,goal keeper,0,0,0,Magaña,Raúl,Raúl Magaña,30.3,0,False,False,False
1970,P-08424,Uruguay,2,2,midfielder,0,0,0,Losada,Julio,Julio Losada,20.0,0,False,False,False
1970,P-08449,Israel,3,2,defender,0,0,0,Bar,Shraga,Shraga Bar,22.2,0,False,False,False
1970,P-08601,England,4,4,attacking midfielder,0,0,0,Charlton,Bobby,Bobby Charlton,32.6,3,False,False,False
1970,P-09236,Romania,3,3,right winger,0,0,0,Lucescu,Mircea,Mircea Lucescu,24.8,0,False,False,False
1970,P-09393,Israel,3,3,goal keeper,0,0,0,Vissoker,Yitzchak,Yitzchak Vissoker,25.7,0,False,False,False
1970,P-10096,El Salvador,3,3,midfielder,0,0,0,Cabezas,Salvador,Salvador Cabezas,23.3,0,False,False,False
1970,P-10922,Israel,3,3,defender,0,0,0,Schwager,Yisha'ayahu,Yisha'ayahu Schwager,24.3,0,False,False,False
1970,P-11099,West Germany,2,1,midfielder,0,0,0,Weber,Wolfgang,Wolfgang Weber,25.9,1,False,False,False
1970,P-11917,England,2,0,forward,0,0,0,Osgood,Peter,Peter Osgood,23.3,0,False,False,False
1970,P-12272,West Germany,1,1,midfielder,0,0,0,Haller,Helmut,Helmut Haller,30.9,2,False,False,False
1970,P-12397,Sweden,2,2,goal keeper,0,0,0,Larsson,Sven-Gunnar,Sven-Gunnar Larsson,30.1,0,False,False,False
1970,P-12863,West Germany,6,4,forward,0,0,0,Löhr,Hannes,Hannes Löhr,27.9,0,False,False,False
1970,P-13602,Mexico,3,3,midfielder,1,0,1,González,José Luis,José Luis González,27.7,1,False,False,False
1970,P-14080,West Germany,5,5,goal keeper,0,0,0,Maier,Sepp,Sepp Maier,26.3,1,False,False,False
1970,P-14923,Brazil,6,6,center midfielder,1,0,1,Clodoaldo,not applicable,not applicable Clodoaldo,20.7,0,False,False,False
1970,P-15207,Morocco,1,0,midfielder,0,0,0,Choukri,Moustapha,Moustapha Choukri,25.4,0,False,False,False
1970,P-15216,Czechoslovakia,2,2,goal keeper,0,0,0,Viktor,Ivo,Ivo Viktor,28.0,0,False,False,False
1970,P-15241,Bulgaria,2,2,defender,1,0,1,Kolev,Todor,Todor Kolev,28.1,0,False,False,False
1970,P-15529,Sweden,3,3,defender,0,0,0,Axelsson,Kurt,Kurt Axelsson,28.6,0,False,False,False
1970,P-15663,Brazil,2,1,defender,0,0,0,Antônio,Marco,Marco Antônio,19.3,0,False,False,False
1970,P-15677,Peru,4,4,goal keeper,0,0,0,Rubiños,Luis,Luis Rubiños,29.4,0,False,False,False
1970,P-16270,El Salvador,3,3,midfielder,0,0,0,Vásquez,Jorge,Jorge Vásquez,25.1,0,False,False,False
1970,P-17002,Soviet Union,3,3,defender,0,0,0,Kaplichny,Vladimir,Vladimir Kaplichny,26.3,0,False,False,False
1970,P-17395,Brazil,1,1,defender,0,0,0,Fontana,not applicable,not applicable Fontana,29.4,0,False,False,False
1970,P-17536,Czechoslovakia,1,1,goal keeper,0,0,0,Vencel,Alexander,Alexander Vencel,26.3,0,False,False,False
