year,tournament_id,team_name,player_id,player_name,position_name,shirt_number,age_at_tournament,goals_scored,won_golden_boot,won_best_player,won_young_player
1930,WC-1930,Argentina,P-69244,Ángel Bossio,goal keeper,0,25.2,0,False,False,False
1930,WC-1930,Argentina,P-23160,Juan Botasso,goal keeper,0,21.7,0,False,False,False
1930,WC-1930,Argentina,P-99230,Roberto Cherro,forward,0,23.4,0,False,False,False
1930,WC-1930,Argentina,P-41921,Alberto Chividini,defender,0,23.4,0,False,False,False
1930,WC-1930,Argentina,P-22739,José Della Torre,defender,0,24.3,0,False,False,False
1930,WC-1930,Argentina,P-30720,Attilio Demaría,forward,0,21.3,0,False,False,False
1930,WC-1930,Argentina,P-30543,Juan Evaristo,midfielder,0,28.1,0,False,False,False
1930,WC-1930,Argentina,P-23897,Mario Evaristo,forward,0,21.6,1,False,False,False
1930,WC-1930,Argentina,P-60505,Manuel Ferreira,forward,0,24.7,0,False,False,False
1930,WC-1930,Argentina,P-25760,Luis Monti,midfielder,0,29.2,2,False,False,False
1930,WC-1930,Argentina,P-49556,Ramón Muttis,defender,0,31.3,0,False,False,False
1930,WC-1930,Argentina,P-91238,Rodolfo Orlandini,midfielder,0,25.5,0,False,False,False
1930,WC-1930,Argentina,P-58537,Fernando Paternoster,defender,0,27.1,0,False,False,False
1930,WC-1930,Argentina,P-24312,Natalio Perinetti,forward,0,29.5,0,False,False,False
1930,WC-1930,Argentina,P-70166,Carlos Peucelle,forward,0,21.8,3,False,False,False
1930,WC-1930,Argentina,P-49151,Edmundo Piaggio,defender,0,24.8,0,False,False,False
1930,WC-1930,Argentina,P-44916,Alejandro Scopelli,forward,0,22.2,1,False,False,False
1930,WC-1930,Argentina,P-21441,Carlos Spadaro,forward,0,28.4,0,False,False,False
1930,WC-1930,Argentina,P-56486,Guillermo Stábile,forward,0,25.5,8,True,False,False
1930,WC-1930,Argentina,P-56908,Arico Suárez,midfielder,0,22.1,0,False,False,False
1930,WC-1930,Argentina,P-37326,Francisco Varallo,forward,0,20.4,1,False,False,False
1930,WC-1930,Argentina,P-76546,Adolfo Zumelzú,midfielder,0,28.5,2,False,False,False
1930,WC-1930,Belgium,P-92795,Ferdinand Adams,forward,0,27.2,0,False,False,False
1930,WC-1930,Belgium,P-20690,Arnold Badjou,goal keeper,0,21.0,0,False,False,False
1930,WC-1930,Belgium,P-40714,Pierre Braine,midfielder,0,29.7,0,False,False,False
1930,WC-1930,Belgium,P-41990,Alexis Chantraine,midfielder,0,29.3,0,False,False,False
1930,WC-1930,Belgium,P-97126,Jean De Bie,goal keeper,0,38.2,0,False,False,False
1930,WC-1930,Belgium,P-93713,Jean De Clercq,midfielder,0,25.2,0,False,False,False
1930,WC-1930,Belgium,P-41710,Henri De Deken,defender,0,22.9,0,False,False,False
1930,WC-1930,Belgium,P-45315,Gérard Delbeke,midfielder,0,26.9,0,False,False,False
1930,WC-1930,Belgium,P-16891,Jan Diddens,forward,0,21.8,0,False,False,False
1930,WC-1930,Belgium,P-61253,August Hellemans,midfielder,0,22.8,0,False,False,False
1930,WC-1930,Belgium,P-44475,Nic Hoydonckx,defender,0,29.5,0,False,False,False
1930,WC-1930,Belgium,P-74839,Jacques Moeschal,forward,0,29.8,0,False,False,False
1930,WC-1930,Belgium,P-46390,Theodore Nouwens,defender,0,22.4,0,False,False,False
1930,WC-1930,Belgium,P-28503,André Saeys,forward,0,19.4,0,False,False,False
1930,WC-1930,Belgium,P-69286,Louis Versyp,forward,0,21.6,0,False,False,False
1930,WC-1930,Belgium,P-85443,Bernard Voorhoof,forward,0,20.2,0,False,False,False
1930,WC-1930,Bolivia,P-43807,Mario Alborta,forward,0,19.8,0,False,False,False
1930,WC-1930,Bolivia,P-62751,Juan Argote,midfielder,0,23.6,0,False,False,False
1930,WC-1930,Bolivia,P-95008,Jesús Bermúdez,goal keeper,0,28.5,0,False,False,False
1930,WC-1930,Bolivia,P-97354,Miguel Brito,midfielder,0,29.1,0,False,False,False
1930,WC-1930,Bolivia,P-16019,José Bustamante,forward,0,23.5,0,False,False,False
1930,WC-1930,Bolivia,P-36835,Casiano Chavarría,defender,0,28.9,0,False,False,False
1930,WC-1930,Bolivia,P-69877,Segundo Durandal,defender,0,18.3,0,False,False,False
1930,WC-1930,Bolivia,P-61667,René Fernández,forward,0,24.5,0,False,False,False
1930,WC-1930,Bolivia,P-48216,Gumercindo Gómez,forward,0,23.5,0,False,False,False
1930,WC-1930,Bolivia,P-92600,Diógenes Lara,midfielder,0,27.3,0,False,False,False
1930,WC-1930,Bolivia,P-84833,Rafael Méndez,forward,0,26.5,0,False,False,False
1930,WC-1930,Bolivia,P-92838,Miguel Murillo,goal keeper,0,32.3,0,False,False,False
1930,WC-1930,Bolivia,P-93364,Constantino Noya,midfielder,0,,0,False,False,False
1930,WC-1930,Bolivia,P-56114,Eduardo Reyes Ortiz,forward,0,23.5,0,False,False,False
1930,WC-1930,Bolivia,P-35684,Luis Reyes Peñaranda,defender,0,19.1,0,False,False,False
1930,WC-1930,Bolivia,P-00369,Renato Sáinz,midfielder,0,30.6,0,False,False,False
1930,WC-1930,Bolivia,P-67934,Jorge Valderrama,midfielder,0,23.6,0,False,False,False
1930,WC-1930,Brazil,P-13299,Araken,forward,0,25.0,0,False,False,False
1930,WC-1930,Brazil,P-70170,Benedicto,forward,0,23.7,0,False,False,False
1930,WC-1930,Brazil,P-11648,Benvenuto,midfielder,0,26.9,0,False,False,False
1930,WC-1930,Brazil,P-81166,Brilhante,defender,0,25.7,0,False,False,False
1930,WC-1930,Brazil,P-58460,Doca,forward,0,27.3,0,False,False,False
1930,WC-1930,Brazil,P-52323,Fausto,defender,0,25.5,0,False,False,False
1930,WC-1930,Brazil,P-00708,Fernando,midfielder,0,24.4,0,False,False,False
1930,WC-1930,Brazil,P-49818,Fortes,midfielder,0,28.8,0,False,False,False
1930,WC-1930,Brazil,P-29865,Hermógenes,defender,0,21.7,0,False,False,False
1930,WC-1930,Brazil,P-92427,Itália,defender,0,23.1,0,False,False,False
1930,WC-1930,Brazil,P-16656,Joel,goal keeper,0,26.2,0,False,False,False
1930,WC-1930,Brazil,P-72889,Carvalho Leite,forward,0,18.0,0,False,False,False
1930,WC-1930,Brazil,P-30679,Manoelzinho,forward,0,22.9,0,False,False,False
1930,WC-1930,Brazil,P-49633,Ivan Mariz,midfielder,0,20.2,0,False,False,False
1930,WC-1930,Brazil,P-83987,Moderato,forward,0,28.0,2,False,False,False
1930,WC-1930,Brazil,P-10526,Nilo,forward,0,27.3,0,False,False,False
1930,WC-1930,Brazil,P-52064,Oscarino,midfielder,0,23.5,0,False,False,False
1930,WC-1930,Brazil,P-32535,Pamplona,midfielder,0,26.3,0,False,False,False
1930,WC-1930,Brazil,P-38379,Poly,forward,0,21.5,0,False,False,False
1930,WC-1930,Brazil,P-91171,Preguinho,forward,0,25.4,3,False,False,False
1930,WC-1930,Brazil,P-82422,Russinho,forward,0,27.6,0,False,False,False
1930,WC-1930,Brazil,P-26796,Teóphilo,forward,0,30.3,0,False,False,False
1930,WC-1930,Brazil,P-28745,Velloso,goal keeper,0,21.8,0,False,False,False
1930,WC-1930,Brazil,P-22493,Zé Luiz,defender,0,25.7,0,False,False,False
1930,WC-1930,Chile,P-95800,Juan Aguilera,forward,0,26.7,0,False,False,False
1930,WC-1930,Chile,P-33635,Guillermo Arellano,forward,0,21.9,0,False,False,False
1930,WC-1930,Chile,P-54301,Ernesto Chaparro,defender,0,29.5,0,False,False,False
1930,WC-1930,Chile,P-88235,Arturo Coddou,midfielder,0,25.5,0,False,False,False
1930,WC-1930,Chile,P-01278,Roberto Cortés,goal keeper,0,25.4,0,False,False,False
1930,WC-1930,Chile,P-41928,Humberto Elgueta,midfielder,0,25.8,0,False,False,False
1930,WC-1930,Chile,P-32614,César Espinoza,goal keeper,0,29.8,0,False,False,False
1930,WC-1930,Chile,P-07122,Víctor Morales,defender,0,25.2,0,False,False,False
1930,WC-1930,Chile,P-66860,Horacio Muñoz,forward,0,30.5,0,False,False,False
1930,WC-1930,Chile,P-19195,Tomás Ojeda,forward,0,20.2,0,False,False,False
1930,WC-1930,Chile,P-97943,Ulises Poirier,defender,0,33.4,0,False,False,False
1930,WC-1930,Chile,P-85142,Guillermo Riveros,defender,0,28.4,0,False,False,False
1930,WC-1930,Chile,P-49261,Guillermo Saavedra,midfielder,0,26.7,0,False,False,False
1930,WC-1930,Chile,P-89829,Carlos Schneeberger,forward,0,28.1,0,False,False,False
1930,WC-1930,Chile,P-08459,Guillermo Subiabre,forward,0,28.4,2,False,False,False
1930,WC-1930,Chile,P-10927,Arturo Torres,midfielder,0,23.7,0,False,False,False
1930,WC-1930,Chile,P-28795,Casimiro Torres,midfielder,0,24.5,0,False,False,False
1930,WC-1930,Chile,P-61338,Carlos Vidal,forward,0,28.4,2,False,False,False
