year,team_name,stage_rank,won_tournament,elo_pre_tournament,form_matches,form_win_rate,form_draw_rate,form_gd_per_game,form_gf_per_game,form_ga_per_game,form_points_per_game,squad_size,squad_avg_age,squad_min_age,squad_avg_exp,n_gk,n_def,n_mid,n_fwd,wc_appearances,best_stage_ever,is_host,won_last_wc
1930,Argentina,7,0,1500.0,8.0,0.5,0.375,1.125,1.75,0.625,1.875,22,25.0,20.432580424366872,0.0,0,5,5,10,0,0,0,0
1930,Belgium,1,0,1500.0,10.0,0.5,0.1,0.2,2.3,2.1,1.6,16,25.5,19.392197125256672,0.0,0,3,5,6,0,0,0,0
1930,Bolivia,1,0,1500.0,,0.0,0.0,0.0,0.0,0.0,0.0,17,25.2,18.321697467488022,0.0,0,3,6,6,0,0,0,0
1930,Brazil,1,0,1500.0,,0.0,0.0,0.0,0.0,0.0,0.0,24,24.9,18.04791238877481,0.0,0,5,6,11,0,0,0,0
1930,Chile,1,0,1500.0,,0.0,0.0,0.0,0.0,0.0,0.0,19,26.6,20.229979466119097,0.0,0,4,5,8,0,0,0,0
1930,France,1,0,1500.0,12.0,0.25,0.08333333333333333,-1.5833333333333333,1.4166666666666667,3.0,0.8333333333333334,16,24.0,22.012320328542096,0.0,0,4,4,6,0,0,0,0
1930,Mexico,1,0,1500.0,,0.0,0.0,0.0,0.0,0.0,0.0,17,24.7,18.236824093086927,0.0,0,3,4,8,0,0,0,0
1930,Paraguay,1,0,1500.0,3.0,0.6666666666666666,0.0,1.6666666666666667,3.0,1.3333333333333333,2.0,22,24.4,19.800136892539356,0.0,0,4,6,10,0,0,0,0
1930,Peru,1,0,1500.0,3.0,0.0,0.0,-3.6666666666666665,0.3333333333333333,4.0,0.0,22,23.5,19.104722792607802,0.0,0,4,7,9,0,0,0,0
1930,Romania,1,0,1500.0,6.0,0.6666666666666666,0.0,1.6666666666666667,3.1666666666666665,1.5,2.0,15,23.4,18.55441478439425,0.0,0,4,3,6,0,0,0,0
1930,United States,5,0,1500.0,,0.0,0.0,0.0,0.0,0.0,0.0,16,26.6,20.687200547570157,0.0,0,3,3,9,0,0,0,0
1930,Uruguay,7,1,1500.0,8.0,0.25,0.375,-0.375,1.0,1.375,1.125,22,26.7,22.05612594113621,0.0,0,4,6,10,0,0,1,0
1930,Yugoslavia,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17,22.1,18.54072553045859,0.0,0,4,4,7,0,0,0,0
1934,Argentina,3,0,1500.0,3.0,0.6666666666666666,0.0,1.0,2.0,1.0,2.0,18,23.9,19.184120465434635,0.0,0,4,5,7,1,7,0,0
1934,Austria,6,0,1500.0,14.0,0.5714285714285714,0.2857142857142857,1.5714285714285714,3.2142857142857144,1.6428571428571428,2.0,22,26.2,20.66803559206023,0.0,0,4,4,11,0,0,0,0
1934,Belgium,3,0,1500.0,14.0,0.14285714285714285,0.21428571428571427,-2.0,1.7857142857142858,3.7857142857142856,0.6428571428571429,22,24.9,19.994524298425734,0.18,0,3,8,9,1,1,0,0
1934,Brazil,3,0,1500.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,19,24.0,20.720054757015742,0.11,0,3,6,8,1,1,0,0
1934,Czechoslovakia,7,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,25.7,19.482546201232033,0.0,0,4,7,9,0,0,0,0
1934,Egypt,3,0,1500.0,2.0,1.0,0.0,4.5,5.5,1.0,3.0,20,24.4,19.81656399726215,0.0,0,3,7,8,0,0,0,0
1934,France,3,0,1500.0,12.0,0.4166666666666667,0.16666666666666666,-0.16666666666666666,2.0,2.1666666666666665,1.4166666666666667,22,24.5,19.94524298425736,0.27,0,4,7,8,1,1,0,0
1934,Germany,6,0,1500.0,9.0,0.5555555555555556,0.2222222222222222,1.7777777777777777,3.2222222222222223,1.4444444444444444,1.8888888888888888,22,24.5,19.54277891854894,0.0,0,5,5,9,0,0,0,0
