year,tournament_id,team_name,matches_played,goals_for,goals_against,wins,draws,losses,goal_diff,win_rate,tournament_winner,best_player,best_player_team,golden_boot,golden_boot_team,young_player,young_player_team,won_tournament
1930,WC-1930,Argentina,5,18,9,4,0,1,9,0.8,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,Belgium,2,0,4,0,0,2,-4,0.0,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,Bolivia,2,0,8,0,0,2,-8,0.0,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,Brazil,2,5,2,1,0,1,3,0.5,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,Chile,3,5,3,2,0,1,2,0.667,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,France,3,4,3,1,0,2,1,0.333,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,Mexico,3,4,13,0,0,3,-9,0.0,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,Paraguay,2,1,3,1,0,1,-2,0.5,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,Peru,2,1,4,0,0,2,-3,0.0,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,Romania,2,3,5,1,0,1,-2,0.5,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,United States,3,7,6,2,0,1,1,0.667,Uruguay,,,Guillermo Stábile,Argentina,,,False
1930,WC-1930,Uruguay,4,15,3,4,0,0,12,1.0,Uruguay,,,Guillermo Stábile,Argentina,,,True
1930,WC-1930,Yugoslavia,3,7,7,2,0,1,0,0.667,Uruguay,,,Guillermo Stábile,Argentina,,,False
1934,WC-1934,Argentina,1,2,3,0,0,1,-1,0.0,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Austria,4,7,7,2,0,2,0,0.5,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Belgium,1,2,5,0,0,1,-3,0.0,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Brazil,1,1,3,0,0,1,-2,0.0,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Czechoslovakia,4,9,6,3,0,1,3,0.75,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Egypt,1,2,4,0,0,1,-2,0.0,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,France,1,2,3,0,0,1,-1,0.0,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Germany,4,11,8,3,0,1,3,0.75,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Hungary,2,5,4,1,0,1,1,0.5,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Italy,5,12,3,4,1,0,9,0.8,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,True
1934,WC-1934,Netherlands,1,2,3,0,0,1,-1,0.0,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Romania,1,1,2,0,0,1,-1,0.0,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Spain,3,4,3,1,1,1,1,0.333,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Sweden,2,4,4,1,0,1,0,0.5,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,Switzerland,2,5,5,1,0,1,0,0.5,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1934,WC-1934,United States,1,1,7,0,0,1,-6,0.0,Italy,,,Oldřich Nejedlý,Czechoslovakia,,,False
1938,WC-1938,Belgium,1,1,3,0,0,1,-2,0.0,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Brazil,5,14,11,3,1,1,3,0.6,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Cuba,3,5,12,1,1,1,-7,0.333,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Czechoslovakia,3,5,3,1,1,1,2,0.333,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Dutch East Indies,1,0,6,0,0,1,-6,0.0,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,France,2,4,4,1,0,1,0,0.5,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Germany,2,3,5,0,1,1,-2,0.0,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Hungary,4,15,5,3,0,1,10,0.75,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Italy,4,11,5,4,0,0,6,1.0,Italy,,,Leônidas,Brazil,,,True
1938,WC-1938,Netherlands,1,0,3,0,0,1,-3,0.0,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Norway,1,1,2,0,0,1,-1,0.0,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Poland,1,5,6,0,0,1,-1,0.0,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Romania,2,4,5,0,1,1,-1,0.0,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Sweden,3,11,9,1,0,2,2,0.333,Italy,,,Leônidas,Brazil,,,False
1938,WC-1938,Switzerland,3,5,5,1,1,1,0,0.333,Italy,,,Leônidas,Brazil,,,False
1950,WC-1950,Bolivia,1,0,8,0,0,1,-8,0.0,Uruguay,,,Ademir,Brazil,,,False
1950,WC-1950,Brazil,6,22,6,4,1,1,16,0.667,Uruguay,,,Ademir,Brazil,,,False
1950,WC-1950,Chile,3,5,6,1,0,2,-1,0.333,Uruguay,,,Ademir,Brazil,,,False
1950,WC-1950,England,3,2,2,1,0,2,0,0.333,Uruguay,,,Ademir,Brazil,,,False
1950,WC-1950,Italy,2,4,3,1,0,1,1,0.5,Uruguay,,,Ademir,Brazil,,,False
1950,WC-1950,Mexico,3,2,10,0,0,3,-8,0.0,Uruguay,,,Ademir,Brazil,,,False
1950,WC-1950,Paraguay,2,2,4,0,1,1,-2,0.0,Uruguay,,,Ademir,Brazil,,,False
1950,WC-1950,Spain,6,10,12,3,1,2,-2,0.5,Uruguay,,,Ademir,Brazil,,,False
1950,WC-1950,Sweden,5,11,15,2,1,2,-4,0.4,Uruguay,,,Ademir,Brazil,,,False
1950,WC-1950,Switzerland,3,4,6,1,1,1,-2,0.333,Uruguay,,,Ademir,Brazil,,,False
